,,,WraLU,,AB-CROWN,,GRENA,
Image index,Dataset / Network,Epsilon,Result,Time (seconds),Result,Time (seconds),Result,Time (seconds)
159,resnet / resnet_4b,0.0042,verified,36.2,verified,1.8,verified,60.6
181,resnet / resnet_4b,0.0042,verified,41.0,verified,1.8,verified,66.9
213,resnet / resnet_4b,0.0042,verified,37.9,verified,1.9,verified,63.7
233,resnet / resnet_4b,0.0042,verified,35.3,verified,1.8,verified,58.2
247,resnet / resnet_4b,0.0042,unknown,94.3,falsified,0.0,falsified,160.2
293,resnet / resnet_4b,0.0042,unknown,100.2,verified,27.7,verified,200.3
383,resnet / resnet_4b,0.0042,unknown,90.3,falsified,0.0,falsified,154.4
426,resnet / resnet_4b,0.0042,unknown,93.2,verified,27.3,verified,183.9
479,resnet / resnet_4b,0.0042,verified,40.6,verified,1.9,verified,65.2
2,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,1.9,verified,19.6
9,mnist / convBigRELU__DiffAI,0.313,verified,12.1,verified,1.8,verified,19.7
24,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,2.2,verified,19.7
46,mnist / convBigRELU__DiffAI,0.313,unknown,80.7,unknown,300.9,unknown,600.0
70,mnist / convBigRELU__DiffAI,0.313,verified,12.1,verified,3.0,verified,19.5
81,mnist / convBigRELU__DiffAI,0.313,verified,12.7,verified,2.6,verified,20.0
174,mnist / convBigRELU__DiffAI,0.313,unknown,80.3,falsified,0.1,falsified,91.6
182,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,2.0,verified,19.4
183,mnist / convBigRELU__DiffAI,0.313,unknown,80.3,falsified,0.0,falsified,88.7
187,mnist / convBigRELU__DiffAI,0.313,verified,12.6,verified,2.0,verified,19.5
223,mnist / convBigRELU__DiffAI,0.313,unknown,80.7,falsified,0.1,falsified,91.5
235,mnist / convBigRELU__DiffAI,0.313,verified,13.2,verified,2.1,verified,20.2
265,mnist / convBigRELU__DiffAI,0.313,unknown,80.4,falsified,0.0,falsified,84.9
295,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,2.0,verified,19.7
296,mnist / convBigRELU__DiffAI,0.313,verified,12.6,verified,2.5,verified,19.9
310,mnist / convBigRELU__DiffAI,0.313,verified,12.4,verified,3.6,verified,19.7
311,mnist / convBigRELU__DiffAI,0.313,verified,12.8,verified,3.3,verified,19.9
326,mnist / convBigRELU__DiffAI,0.313,verified,12.8,verified,2.2,verified,19.6
340,mnist / convBigRELU__DiffAI,0.313,unknown,85.6,falsified,0.1,falsified,90.8
363,mnist / convBigRELU__DiffAI,0.313,verified,13.1,verified,3.3,verified,20.2
386,mnist / convBigRELU__DiffAI,0.313,unknown,88.7,unknown,301.1,unknown,600.0
439,mnist / convBigRELU__DiffAI,0.313,verified,12.7,verified,3.2,verified,19.7
458,mnist / convBigRELU__DiffAI,0.313,verified,12.8,verified,3.2,verified,19.4
466,mnist / convBigRELU__DiffAI,0.313,unknown,85.2,falsified,0.8,falsified,88.8
481,mnist / convBigRELU__DiffAI,0.313,unknown,90.0,unknown,301.1,falsified,90.3
522,mnist / convBigRELU__DiffAI,0.313,unknown,65.7,falsified,0.1,falsified,88.9
524,mnist / convBigRELU__DiffAI,0.313,verified,12.1,verified,2.4,verified,19.4
545,mnist / convBigRELU__DiffAI,0.313,verified,12.3,verified,2.9,verified,19.4
587,mnist / convBigRELU__DiffAI,0.313,verified,12.5,verified,3.0,verified,20.5
591,mnist / convBigRELU__DiffAI,0.313,verified,12.4,verified,2.0,verified,19.5
